second,app_cpu_percent,app_memory_mb
1,2.34786562339742,170.76739501953125
2,2.425334059639998,175.47052001953125
3,2.4144552266589576,176.64239501953125
4,2.380797123990553,176.72052001953125
5,2.414628828955564,176.73614501953125
6,2.4015102664561394,176.45489501953125
7,2.3976333131050387,176.36114501953125
8,2.4248688283660216,176.31427001953125
9,2.392805351252468,176.36114501953125
10,2.406506147894139,176.37677001953125
11,2.394750929137662,176.37677001953125
12,2.404362468813436,176.37677001953125
13,2.4190470090971616,176.28302001953125
14,2.3802299572322436,176.28302001953125
15,2.4230456759287557,176.28302001953125
16,2.3874133755469193,176.28302001953125
17,2.4084104685416783,176.28302001953125
18,2.4155243490953255,176.28302001953125
